participant_id,gender,age,study,prime_type,endowment_baseline,neutral_baseline,child_post,experimenter_post,unowned_post,neutral_post,swap,child_change,experimenter_change,unowned_change,neutral_change,prime_time,pronouns
301,2,3y6m,1,self,3,5,5,3,.,4,1,2,0,.,-1,4min31sec,38
100,1,4y9m,1,self,4,2,5,5,.,1,0,1,1,.,-1,4min25sec,35
102,2,4y9m,1,self,4,5,5,5,.,4,0,1,1,.,-1,4min10sec,33
104,1,3y11m,1,self,5,1,5,3,.,5,0,0,-2,.,4,3min15sec,31
106,2,4y5m,1,self,5,3,5,5,.,2,0,0,0,.,-1,4min5sec,32
300,1,3y5m,1,self,2,3,2,1,.,2,0,0,-1,.,-1,4min20sec,38
110,2,4y5m,1,self,4,3,5,5,.,1,0,1,1,.,-2,3min30sec,32
111,1,4y8m,1,self,3,2,3,2,.,1,0,0,-1,.,-1,4min0sec,30
113,1,4y5,1,self,3,2,5,1,.,5,1,2,-2,.,3,3min45sec,32
116,2,3y11m,1,self,3,4,4,4,.,3,0,1,1,.,-1,3min50sec,34
119,1,4y8m,1,self,2,4,5,1,.,1,0,3,-1,.,-3,3min12sec,30
121,1,4y4m,1,self,3,2,5,5,.,5,1,2,2,.,3,3min20sec,32
123,2,4y9m,1,self,4,2,5,5,.,1,0,1,1,.,-1,3min10sec,33
124,1,4y8m,1,self,2,3,5,5,.,1,0,3,3,.,-2,4min15sec,36
137,2,3y7m,1,self,5,4,5,3,.,4,0,0,-2,.,0,3min8sec,33
136,2,3y6m,1,self,5,1,5,4,.,3,0,0,-1,.,2,3min5sec,33
130,1,3y11m,1,self,3,5,5,4,.,3,0,2,1,.,-2,3min42sec,36
142,2,4y0m,1,self,4,3,5,5,.,3,0,1,1,.,0,3min30sec,34
127,1,4y4m,1,self,5,4,5,4,.,1,0,0,-1,.,-3,3min28sec,30
125,2,3y6m,1,self,3,3,4,3,.,3,0,1,0,.,0,3min51sec,34
101,1,3y11m,1,other,3,4,5,1,.,1,0,2,-2,.,-3,3min10sec,30
103,1,4y8m,1,other,1,2,4,5,.,3,0,3,4,.,1,4min26sec,31
105,2,4y0m,1,other,4,3,5,5,.,4,1,1,1,.,1,4min0sec,33
107,2,3y11m,1,other,3,2,2,5,.,1,1,-1,2,.,-1,3min10sec,31
304,1,3y9m,1,other,5,5,5,5,.,5,1,0,0,.,0,4min15sec,37
114,1,4y6,1,other,4,2,5,5,.,2,0,1,1,.,0,3min 10sec,30
115,1,4y2m,1,other,3,2,5,5,.,5,0,2,2,.,3,4min20sec,33
117,2,4y0m,1,other,5,2,5,5,.,3,1,0,0,.,1,3min20sec,32
118,2,4y8m,1,other,3,2,4,5,.,3,1,1,2,.,1,3min20sec,31
120,2,4y6,1,other,5,3,5,5,.,5,1,0,0,.,2,3min24sec,37
140,1,3y8m,1,other,3,5,5,4,.,1,1,2,1,.,-4,4min49sec,37
139,2,3y11m,1,other,3,3,1,5,.,3,1,-2,2,.,0,3min40sec,31
138,1,3y11m,1,other,2,4,1,4,.,3,0,-1,2,.,-1,4min32sec,33
135,1,3y6m,1,other,4,3,1,5,.,3,1,-3,1,.,0,3min50sec,32
134,1,3y7m,1,other,5,3,5,3,.,4,0,0,-2,.,1,3min55sec,30
133,2,4y8m,1,other,5,2,3,5,.,5,1,-2,0,.,3,4min0sec,36
132,2,3y9m,1,other,3,5,3,5,.,4,1,0,2,.,-1,3min48sec,39
131,2,4y8m,1,other,3,2,4,4,.,2,0,1,1,.,0,3min50sec,31
129,1,4y0m,1,other,4,2,4,5,.,2,1,0,1,.,0,3min15sec,33
128,2,3y9m,1,other,5,3,5,5,.,3,0,0,0,.,0,4min20sec,34
203,1,3y4m,1,neutral,4,2,3,5,.,4,0,-1,1,.,2,3min50sec,
204,1,3y2m,1,neutral,4,3,5,1,.,4,0,1,-3,.,1,3min30sec,
205,1,3y2m,1,neutral,2,3,4,5,.,4,0,2,3,.,1,3min45sec,
206,1,3y1m,1,neutral,4,5,4,3,.,5,1,0,-1,.,0,4min24sec,
207,2,3y2m,1,neutral,4,3,5,3,.,4,0,1,-1,.,1,4min35sec,
209,2,4y1m,1,neutral,4,2,5,5,.,3,0,1,1,.,1,4min26sec,
210,2,3y9m,1,neutral,4,5,5,5,.,4,0,1,1,.,-1,4min 10sec,
211,1,4y8m,1,neutral,2,4,5,2,.,1,0,3,0,.,-3,3min 30sec,
212,1,4y1m,1,neutral,5,3,4,5,.,3,0,-1,0,.,0,3min30sec,
213,1,4y1m,1,neutral,5,4,3,5,.,4,0,-2,0,.,0,4min0sec,
214,2,3y10m,1,neutral,2,1,5,3,.,4,1,3,1,.,3,3min12 sec,
215,2,3y9m,1,neutral,1,2,2,5,.,1,1,1,4,.,-1,4min5sec,
216,1,4y0m,1,neutral,4,5,5,5,.,4,0,1,1,.,-1,3min56sec,
217,2,3y2m,1,neutral,4,3,4,3,.,5,0,0,-1,.,2,4min17sec,
218,2,3y2m,1,neutral,3,4,3,5,.,4,1,0,2,.,0,4min37sec,
219,2,4y8m,1,neutral,4,1,5,5,.,3,0,1,1,.,2,3min15sec,
220,2,4y6m,1,neutral,1,2,4,4,.,3,0,3,3,.,1,3min10sec,
221,2,4y5m,1,neutral,3,2,3,3,.,2,0,0,0,.,0,4min0sec,
222,1,4y2m,1,neutral,3,4,4,1,.,2,0,1,-2,.,-2,3min25sec,
223,1,4y8m,1,neutral,4,3,4,5,.,1,0,0,1,.,-2,3min20sec,
310,2,40,2,self,2,1,5,.,3,4,0,3,.,1,3,,
309,2,48,2,self,2,3,5,.,5,4,0,3,.,3,1,,
303,1,39,2,self,3,2,5,.,4,3,0,2,.,1,1,,
302,2,55,2,self,4,2,5,.,5,4,0,1,.,1,2,,
305,1,48,2,self,5,4,5,.,4,4,0,0,.,-1,0,,
304,2,46,2,self,3,4,5,.,1,2,0,2,.,-2,-2,,
311,2,42,2,self,5,3,5,.,5,3,0,0,.,0,0,,
307,2,45,2,self,2,1,4,.,2,1,1,2,.,0,0,,
308,1,48,2,self,3,5,5,.,5,1,0,2,.,2,-4,,
301,1,48,2,self,3,5,5,.,3,5,0,2,.,0,0,,
306,2,37,2,self,3,4,5,.,5,5,1,2,.,2,1,,
400,2,47,2,self,4,3,5,.,5,4,0,1,.,1,1,,
402,2,58,2,self,4,3,5,.,3,4,1,1,.,-1,1,,
404,1,44,2,self,1,3,4,.,5,1,0,3,.,4,-2,,
408,1,44,2,self,4,2,4,.,3,5,0,0,.,-1,3,,
409,1,53,2,self,3,4,5,.,5,4,1,2,.,2,0,,
410,1,49,2,self,3,4,5,.,3,4,0,2,.,0,0,,
411,1,43,2,self,3,5,4,.,5,3,0,1,.,2,-2,,
412,2,46,2,self,5,3,5,.,3,4,0,0,.,-2,1,,
413,2,48,2,self,1,2,2,.,3,1,0,1,.,2,-1,,
68,1,55,2,other,3,2,5,.,5,4,0,2,.,2,2,,
66,2,47,2,other,4,3,2,.,4,1,1,-2,.,0,-2,,
91,1,56,2,other,4,2,2,.,3,1,0,-2,.,-1,-1,,
65,2,50,2,other,5,1,5,.,5,2,0,0,.,0,1,,
64,1,45,2,other,2,3,3,.,4,2,0,1,.,2,-1,,
57,2,58,2,other,3,2,5,.,5,1,0,2,.,2,-1,,
56,2,57,2,other,3,2,4,.,5,2,1,1,.,2,0,,
53,2,50,2,other,5,3,5,.,5,4,1,0,.,0,1,,
63,2,57,2,other,4,3,5,.,5,1,0,1,.,1,-2,,
58,2,46,2,other,2,3,1,.,1,1,1,-1,.,-1,-2,,
62,2,38,2,other,5,3,5,.,2,4,1,0,.,-3,1,,
54,1,57,2,other,5,3,5,.,5,5,0,0,.,0,2,,
52,1,54,2,other,4,2,4,.,3,4,0,0,.,-1,2,,
61,1,55,2,other,5,1,4,.,4,3,0,-1,.,-1,2,,
55,1,37,2,other,5,3,5,.,5,5,0,0,.,0,2,,
51,1,45,2,other,4,5,5,.,5,3,1,1,.,1,-2,,
59,1,38,2,other,3,4,5,.,2,3,1,2,.,-1,-1,,
60,1,36,2,other,4,2,4,.,4,4,0,0,.,0,2,,
403,2,43,2,other,5,3,3,.,4,5,0,-2,.,-1,2,,
406,2,41,2,other,3,1,4,.,2,3,0,1,.,-1,2,,
2,2,46,3,self,3,.,5,5,5,.,1,2,2,2,.,,
3,1,57,3,self,4,.,5,4,3,.,1,1,0,-1,.,,
12,1,47,3,self,5,.,5,5,5,.,0,0,0,0,.,,
13,2,55,3,self,4,.,5,5,5,.,0,1,1,1,.,,
18,2,58,3,self,5,.,5,5,5,.,0,0,0,0,.,,
14,2,46,3,self,4,.,5,5,5,.,1,1,1,1,.,,
81,1,48,3,self,3,.,5,1,4,.,0,2,-2,1,.,,
121,1,41,3,self,4,.,5,5,5,.,0,1,1,1,.,,
5,1,52,3,self,5,.,5,5,5,.,0,0,0,0,.,,
701,2,47,3,self,5,.,5,5,5,.,1,0,0,0,.,,
700,2,51,3,self,5,.,5,3,4,.,0,0,-2,-1,.,,
702,2,51,3,self,4,.,5,4,3,.,0,1,0,-1,.,,
703,1,56,3,self,4,.,3,4,1,.,0,-1,0,-3,.,,
704,1,57,3,self,3,.,5,3,4,.,0,2,0,1,.,,
705,2,41,3,self,3,.,5,2,1,.,1,2,-1,-2,.,,
706,2,40,3,self,4,.,3,5,4,.,0,-1,1,0,.,,
707,1,47,3,self,3,.,5,5,5,.,0,2,2,2,.,,
709,1,48,3,self,1,.,5,5,4,.,0,4,4,3,.,,
708,1,46,3,self,4,.,5,2,4,.,0,1,-2,0,.,,
712,2,54,3,self,2,.,5,5,5,.,0,3,3,3,.,,
